reg_code,reg_name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
11,Ile-de-France,1.93,1.93,1.95,1.96,2.03,1.99,2.01,0,0,2.03,2.02
21,Champagne-Ardenne,1.84,1.84,1.88,1.92,1.95,1.96,2,0,0,1.99,1.96
22,Picardie,1.98,1.99,1.99,2.02,2.07,2.05,2.09,0,0,2.1,2.08
23,Haute-Normandie,1.9,1.95,1.95,1.98,2.01,2.03,2.06,0,0,2.08,2.09
24,Centre,1.87,1.9,1.93,1.96,2.01,1.99,2.05,0,0,2.06,2.07
25,Basse-Normandie,1.91,1.93,1.94,1.95,2.01,2,1.99,0,0,1.99,1.97
26,Bourgogne,1.78,1.81,1.86,1.86,1.91,1.92,1.95,0,0,1.93,1.93
31,Nord-Pas-de-Calais,2.01,1.98,2.01,2.02,2.08,2.07,2.09,0,0,2.11,2.09
41,Lorraine,1.77,1.76,1.81,1.82,1.86,1.82,1.84,0,0,1.78,1.79
42,Alsace,1.73,1.76,1.75,1.79,1.85,1.81,1.82,0,0,1.84,1.82
43,Franche-Comté,1.9,1.93,1.99,2.01,2.09,2.05,2.07,0,0,2.01,2.01
52,Pays de la Loire,1.98,2,2.03,2.06,2.12,2.09,2.11,0,0,2.09,2.09
53,Bretagne,1.9,1.93,1.94,1.94,2.03,2,2.04,0,0,2.01,2.01
54,Poitou-Charentes,1.74,1.77,1.81,1.86,1.89,1.85,1.93,0,0,1.9,1.91
72,Aquitaine,1.68,1.69,1.72,1.72,1.8,1.79,1.81,0,0,1.81,1.81
73,Midi-Pyrénées,1.68,1.69,1.7,1.74,1.83,1.83,1.85,0,0,1.87,1.89
74,Limousin,1.62,1.58,1.67,1.76,1.76,1.76,1.79,0,0,1.84,1.83
82,Rhône-Alpes,1.89,1.91,1.93,1.97,2.02,2,2.05,0,0,2.04,2.04
83,Auvergne,1.66,1.72,1.74,1.78,1.84,1.8,1.81,0,0,1.85,1.88
91,Languedoc-Roussillon,1.79,1.79,1.8,1.83,1.92,1.91,1.96,0,0,1.98,1.95
93,Provence-Alpes-Côte d'Azur,1.85,1.84,1.88,1.89,1.95,1.94,2,0,0,2.05,2.07
94,Corse,1.56,1.53,1.51,1.62,1.57,1.57,1.62,0,0,1.65,1.58
